+---------------------------+------------------------------------------+
| s_name                    | s_address                                |
+===========================+==========================================+
| Supplier#000000001        |  N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ      |
| Supplier#000000059        | N8lKbYjMnVlEHmTPRmBgtLiX8rrJx            |
| Supplier#000000185        | F4C0AWRPk3                               |
| Supplier#000000283        | MWLpGjjs1WoofKSoN7Lm0DXcSY5H4E9CeneF67ZQ |
| Supplier#000000329        | zPg8 aqmUQ4wHGC 8nO39C50AOMB1VxTsJWmpYyz |
| Supplier#000000392        | 5YSB73Q4LMC9648IF1GGJAP                  |
| Supplier#000000428        | v,lOR2jikAbT0hNyPuYhhJODDs2VBPp          |
| Supplier#000000536        | dzf PbgzKpWBDim5S1BSPLBNzxFpxZNUE        |
| Supplier#000000538        | KBZ0RSDGTVJQPbWaU6x                      |
| Supplier#000000560        | rYTPbri8qJ49rRfFmChtnDIQ                 |
| Supplier#000000653        | IK8OvngBYI1zh9bbK0vLThzVvk7F69hxytOmq    |
| Supplier#000000720        | 82 sGqlCVpJgAKKoW6yTkci95tvt             |
| Supplier#000000865        | zYVm4GPPlvV1MysjqDUItehzU9hD0tIaHeg      |
| Supplier#000000905        | WAGJHr1OUm95U5                           |
| Supplier#000000936        | CuIXj6RYaHGQ5SOkmhu8ZDRt5IU              |
| Supplier#000000955        | 7OFLXDHjSgGrFlHTg8VHFS4glUuN             |
| Supplier#000001000        | sep4GQHrXe                               |
| Supplier#000001089        | lbAfNAr1HpY2LGSPclm2dIlpRethjTL          |
| Supplier#000001107        | osYWPXbB4Jvh68UvinCY06SkHE18gqzDAG0rYT   |
| Supplier#000001131        | bPrtcG7uO5xNHFfFh2omVjC                  |
| Supplier#000001207        | FpOgzEElFhWJDr5OfTAsshWlv                |
| Supplier#000001261        | cDxqWVt0QNlfIdZRciz                      |
| Supplier#000001307        | MPZXf,9fmn0H5Bgtfyv2c74pCy               |
| Supplier#000001371        | rcGLCrh8vvL6mQCGQ50F52hYY CR3 kycXKgh60  |
| Supplier#000001618        | G0hSiC,5kKfQ0N5IZpTgMVvJcoIY,6           |
